[2026-04-23 11:25:35] === Oracle Database Workload Execution ===
[2026-04-23 11:25:35] Duration: 120 seconds
[2026-04-23 11:25:35] Target PDB: FREEPDB1
[2026-04-23 11:25:35] Batch size: 100
[2026-04-23 11:25:35] Workers: 4
[2026-04-23 11:25:35] Verifying database connection...
[2026-04-23 11:25:35] Database status: OPEN
[2026-04-23 11:25:35] PDB FREEPDB1 status: READ WRITE
[2026-04-23 11:25:35] Creating benchmark schema...
[2026-04-23 11:25:36] Benchmark schema created with 10,000 initial orders
[2026-04-23 11:25:36] Creating workload procedure...
[2026-04-23 11:25:37] Workload procedure created
[2026-04-23 11:25:37] Starting workload execution (120 seconds)...
Workload started at: 2026-04-23 11:25:37
Iteration 100: Inserts=3000, Updates=2000, Selects=5000, Elapsed=0s
Iteration 200: Inserts=6000, Updates=4000, Selects=10000, Elapsed=0s
Iteration 300: Inserts=9000, Updates=6000, Selects=15000, Elapsed=1s
Iteration 400: Inserts=12000, Updates=8000, Selects=20000, Elapsed=1s
Iteration 500: Inserts=15000, Updates=10000, Selects=25000, Elapsed=1s
Iteration 600: Inserts=18000, Updates=12000, Selects=30000, Elapsed=1s
Iteration 700: Inserts=21000, Updates=14000, Selects=35000, Elapsed=1s
Iteration 800: Inserts=24000, Updates=16000, Selects=40000, Elapsed=1s
Iteration 900: Inserts=27000, Updates=18000, Selects=45000, Elapsed=2s
Iteration 1000: Inserts=30000, Updates=20000, Selects=50000, Elapsed=2s
Iteration 1100: Inserts=33000, Updates=22000, Selects=55000, Elapsed=2s
Iteration 1200: Inserts=36000, Updates=24000, Selects=60000, Elapsed=2s
Iteration 1300: Inserts=39000, Updates=26000, Selects=65000, Elapsed=2s
Iteration 1400: Inserts=42000, Updates=28000, Selects=70000, Elapsed=2s
Iteration 1500: Inserts=45000, Updates=30000, Selects=75000, Elapsed=3s
Iteration 1600: Inserts=48000, Updates=32000, Selects=80000, Elapsed=3s
Iteration 1700: Inserts=51000, Updates=34000, Selects=85000, Elapsed=3s
Iteration 1800: Inserts=54000, Updates=36000, Selects=90000, Elapsed=3s
Iteration 1900: Inserts=57000, Updates=38000, Selects=95000, Elapsed=3s
Iteration 2000: Inserts=60000, Updates=40000, Selects=100000, Elapsed=4s
Iteration 2100: Inserts=63000, Updates=42000, Selects=105000, Elapsed=4s
Iteration 2200: Inserts=66000, Updates=44000, Selects=110000, Elapsed=4s
Iteration 2300: Inserts=69000, Updates=46000, Selects=115000, Elapsed=4s
Iteration 2400: Inserts=72000, Updates=48000, Selects=120000, Elapsed=4s
Iteration 2500: Inserts=75000, Updates=50000, Selects=125000, Elapsed=4s
Iteration 2600: Inserts=78000, Updates=52000, Selects=130000, Elapsed=5s
Iteration 2700: Inserts=81000, Updates=54000, Selects=135000, Elapsed=5s
Iteration 2800: Inserts=84000, Updates=56000, Selects=140000, Elapsed=5s
Iteration 2900: Inserts=87000, Updates=58000, Selects=145000, Elapsed=5s
Iteration 3000: Inserts=90000, Updates=60000, Selects=150000, Elapsed=5s
Iteration 3100: Inserts=93000, Updates=62000, Selects=155000, Elapsed=5s
Iteration 3200: Inserts=96000, Updates=64000, Selects=160000, Elapsed=6s
Iteration 3300: Inserts=99000, Updates=66000, Selects=165000, Elapsed=6s
Iteration 3400: Inserts=102000, Updates=68000, Selects=170000, Elapsed=6s
Iteration 3500: Inserts=105000, Updates=70000, Selects=175000, Elapsed=6s
Iteration 3600: Inserts=108000, Updates=72000, Selects=180000, Elapsed=6s
Iteration 3700: Inserts=111000, Updates=74000, Selects=185000, Elapsed=7s
Iteration 3800: Inserts=114000, Updates=76000, Selects=190000, Elapsed=7s
Iteration 3900: Inserts=117000, Updates=78000, Selects=195000, Elapsed=7s
Iteration 4000: Inserts=120000, Updates=80000, Selects=200000, Elapsed=7s
Iteration 4100: Inserts=123000, Updates=82000, Selects=205000, Elapsed=7s
Iteration 4200: Inserts=126000, Updates=84000, Selects=210000, Elapsed=8s
Iteration 4300: Inserts=129000, Updates=86000, Selects=215000, Elapsed=8s
